affiliate,local,aff_state,aff_council,aff_local,aff_chapter,aff_name,Industry,Jurisdiction,Employer,Function,single_ocptn,Org_type
C2,1533,WA,2,1533,G,Goldendale City Non-Uniformed Unit,Public Administration,City,City Government,Daily Operations,Multiple,Public
C2,1533,WA,2,1533,G,Goldendale City Uniformed Police Department Unit,Law Enforcement,City,Department,Security & Public Safety,Multiple,Public
C75,835,OR,75,835,,Good Shepherd Health Care System Clinic Rn Unit,Health Care,Single Entity,Medical Center,Health,Nurses,Private Or Indp Entity
C75,835,OR,75,835,,Good Shepherd Health Care System Support Services,Health Care,Single Entity,Medical Center,Health,Support Staff,Private Or Indp Entity
C75,835,OR,75,835,,Good Shepherd Health Care System Technical Employees,Health Care,Single Entity,Medical Center,Technical/It,Multiple,Private Or Indp Entity
C65,737,MN,65,737,,Goodhue County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C65,737,MN,65,737,,Goodhue County Courthouse Employees,Courts,County,County Court,Adult Detention,Multiple,Public
C25,1640,MI,25,1640,15,Goodwill Industries Of Greater Detroit,Human Services,Regional,Non-Profit,Support Housing And Assistance,Multiple,Private Or Indp Entity
C93,3657,NH,93,3657,5,Gorham Town Police Department,Law Enforcement,Town,Department,Security & Public Safety,Multiple,Public
L1000,836,NY,,1000,836,Goshen Central School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,836,NY,,1000,836,Goshen Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
L1000,836,NY,,1000,836,Goshen Village,Public Administration,Village,Village,Daily Operations,Blue Collar,Public
C81,516,DE,81,516,,Governor Bacon Health Center,Health Care,Single Entity,Health Center,Health,Multiple,Public
C88,1332,PA,88,1332,,Governor Mifflin School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
L11,4710,OH,,11,4710,Grafton Correctional Institution,Corrections,Single Entity,Incarceration Facility,Adult Detention,Multiple,Public
C40,108,WI,40,108,,Grafton Village,Utilities & Infrastructure,Village,Village,Public Works,Multiple,Public
L4,260,OH,,4,260,Graham Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C1707,95,NY,1707,95,,Graham Windham -- Grow With Us Preschool,Early Childhood Education,Single Entity,Daycare Facility,Knowledge Enrichment,Multiple,Private Or Indp Entity
C17,886,LA,17,886,,Grambling State University,Higher Education,Single Entity,University,Daily Operations,Multiple,Public
C4,399,CT,4,399,,Granby Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
C93,1725,MA,93,1725,,Granby Town Fire Department Employees,Emergency Services,Town,Fire District,Security & Public Safety,Firefighters,Public
C93,1725,MA,93,1725,,Granby Town Highway Department,Utilities & Infrastructure,Town,Department,Public Works,Highway Employees,Public
C25,1918,MI,25,1918,37,Grand Blanc Charter Township,Public Administration,Township,Township,Daily Operations,Multiple,Public
C25,1918,MI,25,1918,19,Grand Blanc Charter Township Chapter V,Public Administration,Township,Township,Daily Operations,Multiple,Public
C25,1918,MI,25,1918,36,Grand Blanc Community Schools Food Service,K-12 Schools,City,School District,Food Services,Cafeteria Workers,Public
C25,1918,MI,25,1918,20,Grand Blanc Community Schools Transportation,K-12 Schools,City,School District,Transport,Bus Drivers,Public
C25,1918,MI,25,1918,38,Grand Blanc Township Part Time Firefighters,Emergency Services,Township,Fire District,Security & Public Safety,Firefighters,Public
C37,374,NY,37,374,,Grand Central Partnership Gcp,Utilities & Infrastructure,Single Entity,Development Agency,Public Works,Multiple,Private Or Indp Entity
C66,1783,NY,66,1783,A,Grand Island,Utilities & Infrastructure,City,City Government,Public Works,Blue Collar,Public
L251,,NE,,251,,Grand Island City Public Works,Public Administration,City,City Government,Public Works,Blue Collar,Public
L1000,815,NY,,1000,815,Grand Island Town White Collar Employees,Public Administration,Town,Town,Professional,Multiple,Public
C65,455,MN,65,455,,Grand Itasca Clinic And Hospital,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
C65,455,MN,65,455,,Grand Itasca Clinic And Hospital A Minnesota Non-Profit Corporation,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
C5,66,MN,5,66,,Grand Marais City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C65,3456,MN,65,3456,A,Grand Rapids City Area Library,Public Administration,District,Library,Knowledge Enrichment,Library Workers,Public
C65,3456,MN,65,3456,,Grand Rapids Public Utilities Commission,Utilities & Infrastructure,City,Commission,Electric/Gas/Water,Multiple,Public
C1707,215,NY,1707,215,,Grand Street Settlement,Human Services,Single Entity,Non-Profit,Social Services,Multiple,Private Or Indp Entity
C25,1079,MI,25,1079,4,Grand Traverse County Supervisory Unit,Public Administration,County,County Government,Professional,Supervisors,Public
C25,2074,MI,25,2074,,Grand Valley State University Allendale Campus Maintenance And Service,Higher Education,State,University,Daily Operations,Maintenance,Public
C25,2074,MI,25,2074,,Grand Valley State University Meadows Golf Club Maintenance And Service,Higher Education,State,University,Daily Operations,Maintenance,Public
C25,2074,MI,25,2074,,Grand Valley State University Pew Campus Maintenance And Service,Higher Education,State,University,Daily Operations,Maintenance,Public
C25,992,MI,25,992,10,Grand View Hospital,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
C31,3405,IL,31,3405,,Granite City Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C31,3405,IL,31,3405,,Granite City White Collar Unit,Public Administration,City,City Government,Clerical/Admin,Multiple,Public
C9,711,MT,9,711,,Granite County Sheriff,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C65,1686,MN,65,1686,,Granite Falls City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C18,2516,NM,18,2516,,Grant County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C40,918,WI,40,918,,Grant County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C18,2240,NM,18,2240,,Grant County 911 Dispatchers,Emergency Services,County,County Government,Security & Public Safety,Dispatchers,Public
C65,1830,MN,65,1830,,Grant County Highway,Utilities & Infrastructure,County,County Government,Public Works,Highway Employees,Public
L1000,858,NY,,1000,858,Granville Village,Utilities & Infrastructure,Village,Village,Public Works,Blue Collar,Public
C8,2963,OH,8,2963,4,Granville Village Utility Maintenance And Police Dispatchers,Utilities & Infrastructure,Village,Village,Security & Public Safety,Dispatchers,Public
C25,1071,MI,25,1071,3,Gratiot County Road Commission,Utilities & Infrastructure,County,Road Commission,Public Works,Highway Employees,Public
C2,275,WA,2,275,,Grays Harbor County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C2,275,WA,2,275,,Grays Harbor County Public Works Division,Public Administration,County,County Government,Public Works,Multiple,Public
C93,204,MA,93,204,,Great Barrington Department Of Public Works,Utilities & Infrastructure,City,Department,Public Works,Blue Collar,Public
C93,204,MA,93,204,,Great Barrington Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
L1000,882,NY,,1000,882,Great Neck Estates Village,Public Administration,State,Village,Daily Operations,Blue Collar,Public
L1000,882,NY,,1000,882,Great Neck Park District,Environmental Stewardship,District,Park District,Parks & Rec,Multiple,Public
L1000,882,NY,,1000,882,Great Neck Plaza Village Department Of Public Works,Utilities & Infrastructure,Village,Department,Public Works,Multiple,Public
L1000,882,NY,,1000,882,Great Neck Water Pollution Control District,Utilities & Infrastructure,Regional,Water District,Water Treatment,Water And Sewer Workers,Public
C61,1639,IA,61,1639,,Estherville Police,Law Enforcement,City,City Government,Security & Public Safety,Multiple,Public
C65,1345,MN,65,1345,,Great River Regional Library General Unit,Public Administration,Regional,Library,Knowledge Enrichment,Library Workers,Public
C65,2707,MN,65,2707,,Great River Regional Library Services Coordinator Unit,Public Administration,Regional,Library,Knowledge Enrichment,Library Workers,Public
C61,1639,IA,61,1639,,Lakes Regional Healthcare Mobile Intensive Care Service,Health Care,Regional,Medical Center,Health,Multiple,Private Or Indp Entity
L1000,829,NY,,1000,829,Greater Amsterdam Enlarged City School District Aides,K-12 Schools,Regional,School District,Knowledge Enrichment,Instructional Assistants,Public
L1000,829,NY,,1000,829,Greater Amsterdam School District Clerical,K-12 Schools,City,School District,Clerical/Admin,Clerical Employees,Public
L1000,829,NY,,1000,829,Greater Amsterdam School District Custodial / Maintenance,K-12 Schools,City,School District,Custodial And Maintenance,Blue Collar,Public
C8,101,OH,8,101,,Greater Dayton Premier Management Aka Dayton Metropolitan Housing Authority Maintenance,Human Services,Municipality,Housing Authority,Housing,Operations Employees,Public
C8,101,OH,8,101,,Greater Dayton Regional Transit Authority,Transportation,Regional,Transit Authority,Transport,Blue Collar,Public
C93,1118,MA,93,1118,,Greater Fall River Vocational School District Committee,K-12 Schools,Regional,School District,Knowledge Enrichment,Multiple,Public
L1000,818,NY,,1000,818,Greater Johnstown School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C93,1404,MA,93,1404,,Greater Lowell Technical High School Blue Collar,K-12 Schools,District,High School,Custodial And Maintenance,Blue Collar,Public
C93,1404,MA,93,1404,,Greater Lowell Technical High School Security Personnel,K-12 Schools,District,High School,Daily Operations,Security Guards,Public
C5,3481,MN,5,3481,,Greater Minneapolis Crisis Nursery,Human Services,Single Entity,Health Center,Youth Services,Multiple,Public
C4,1303,CT,4,1303,434,Greater New Haven Water Pollution Control Authority,Utilities & Infrastructure,Regional,Water District,Water Treatment,Water And Sewer Workers,Public
C4,818,CT,4,818,54,Greater New Haven Water Pollution Control Authority Supervisors,Utilities & Infrastructure,Regional,Water And Sewer Authority,Water Treatment,Supervisors,Public
C31,2519,IL,31,2519,,Greater Peoria Sanitary And Sewage Disposal District,Utilities & Infrastructure,District,Sanitation Authority,Sanitation,Blue Collar,Public
L1000,828,NY,,1000,828,Greece Town,Utilities & Infrastructure,Town,Town,Public Works,Multiple,Public
C40,3055,WI,40,3055,B,Green Bay Area Public School District Clerical,K-12 Schools,Regional,School District,Clerical/Admin,Clerical Employees,Public
C40,3055,WI,40,3055,,Green Bay Area Public School District Food Service,K-12 Schools,Regional,School District,Food Services,Cafeteria Workers,Public
C40,3055,WI,40,3055,,Green Bay Area Public School District Maintenance,K-12 Schools,Regional,School District,Daily Operations,Maintenance,Public
C40,3055,WI,40,3055,C,Green Bay Area Public School District Monitor,K-12 Schools,Regional,School District,Daily Operations,Hall Monitors,Public
C40,3055,WI,40,3055,C,Green Bay Area Public School District Noon Hour Supervisors,K-12 Schools,Regional,School District,Daily Operations,Hall Monitors,Public
C40,3055,WI,40,3055,,Green Bay Area Public School District Paraprofessionals,K-12 Schools,Regional,School District,Knowledge Enrichment,Paraprofessionals,Public
C40,1672,WI,40,1672,,Green Bay City Bridge Tenders,Utilities & Infrastructure,Regional,City Government,Infrastructure,Bridge Operators,Public
C40,1889,WI,40,1889,,Green Bay City Hall Parking System,Law Enforcement,Regional,Parking Authority,Security & Public Safety,Multiple,Public
C40,1672,WI,40,1672,,Green Bay City Park District,Environmental Stewardship,Regional,City Government,Parks & Rec,Blue Collar,Public
L4,274,OH,,4,274,Green Board Of Education,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
C8,2714,OH,8,2714,,Green City,Public Administration,City,City Government,Daily Operations,Blue Collar,Public
C8,2714,OH,8,2714,,Green City Dispatchers,Emergency Services,City,City Government,Security & Public Safety,Dispatchers,Public
C40,3813,WI,40,3813,,Green County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C82,927,NY,82,927,,Green County Deputies Association,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C40,1162,WI,40,1162,A,Green County Human Services,Human Services,County,County Government,Social Services,Multiple,Public
C40,1162,WI,40,1162,,Green County Pleasant View Home,Home Care,Single Entity,Retirement Home,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
L1199,J,NJ,,1199,J,Green Hill Retirement Community,Home Care,District,Retirement Home,Nursing Home,Multiple,Private Or Indp Entity
C82,756,NY,82,756,,Green Island Village,Law Enforcement,Village,Village,Daily Operations,Multiple,Public
C40,514,WI,40,514,,Green Lake City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C40,514,WI,40,514,C,Green Lake County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C40,514,WI,40,514,,Green Lake County Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C40,514,WI,40,514,D,Green Lake County Professional Employees,Public Administration,County,County Government,Professional,Professional,Public
C40,514,WI,40,514,D,Green Lake Law Enforcement,Law Enforcement,City,City Government,Security & Public Safety,Multiple,Public
L4,665,OH,,4,665,Green Local Board Of Education Bus Drivers,K-12 Schools,City,Board Of Education,Transport,Bus Drivers,Public
L4,752,OH,,4,752,Green Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,860,NY,,1000,860,Greenburgh Central School District #7,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,860,NY,,1000,860,Greenburgh Town General,Public Administration,Town,Town,Daily Operations,Multiple,Public
C48,2,WI,48,2,,Greendale School Board,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
C48,609,WI,48,609,,Greendale Village,Utilities & Infrastructure,Village,Village,Public Works,Multiple,Public
C66,968,NY,66,968,,Greene County,Transportation,County,County Government,Daily Operations,Blue Collar,Public
L1000,820,NY,,1000,820,Greene County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C8,101,OH,8,101,,Greene County Engineer,Utilities & Infrastructure,County,County Government,Public Works,Engineers,Public
C8,101,OH,8,101,,Greene County Sanitary Engineering Department,Utilities & Infrastructure,County,Department,Sanitation,Engineers,Public
C61,1682,IA,61,1682,,Carroll County Conservation Board,Environmental Stewardship,County,Board,Conservation,Multiple,Public
L1000,820,NY,,1000,820,Greene County Unit 7000-01 Correction Officers And Correction Sergeants,Corrections,County,Incarceration Facility,Adult Detention,Supervisors,Public
C48,2,WI,48,2,,Greenfield City,Transportation,City,City Government,Daily Operations,Blue Collar,Public
L4,25,OH,,4,25,Greenfield Exempted Village School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C48,2,WI,48,2,,Greenfield School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L4,356,OH,,4,356,Greenon Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,811,NY,,1000,811,Greenport Town,Public Administration,Town,Town,Daily Operations,Blue Collar,Public
L1000,870,NY,,1000,870,Greenport Union Free School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,852,NY,,1000,852,Greenport Village,Public Administration,Village,Village,Daily Operations,Multiple,Public
C85,2778,PA,85,2778,C,Greenville Borough,Public Administration,Borough,Borough,Daily Operations,Multiple,Public
C8,3844,OH,8,3844,B,Greenville City Board Of Park Commissioners,Environmental Stewardship,City,Commission,Parks & Rec,Multiple,Public
C8,3844,OH,8,3844,,Greenville City Maintenance Employees,Public Administration,City,City Government,Buildings And Grounds,Maintenance,Public
C65,456,MN,65,456,,Greenway Schools Isd #316,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C65,456,MN,65,456,,Greenway Township Board -Marble,Public Administration,Township,Township,Daily Operations,Blue Collar,Public
L1000,858,NY,,1000,858,Greenwich Central School District Custodial Clerical,K-12 Schools,City,School District,Daily Operations,Multiple,Public
C71,3303,NJ,71,3303,,Greenwich Town,Utilities & Infrastructure,Town,Town,Public Works,Blue Collar,Public
C4,1303,CT,4,1303,222,Greenwich Town Public Health Nurses,Public Administration,Town,Town,Health,Nurses,Public
L1199,J,NJ,,1199,J,"Greenwood House, Home For The Jewish Aged Service And Maintenance",Home Care,Single Entity,Retirement Home,Buildings And Grounds,Maintenance,Private Or Indp Entity
L1000,851,NY,,1000,851,Greenwood Town Highway Department,Utilities & Infrastructure,Town,Department,Public Works,Highway Employees,Public
C1707,253,NY,1707,253,,Greyston Family Inn Of Yonkers,Human Services,Single Entity,Non-Profit,Support Housing And Assistance,Multiple,Private Or Indp Entity
C61,1682,IA,61,1682,,Crawford County Memorial Hospital Nonprofessional Patient Care Unit,Health Care,County,Hospital,Health,Multiple,Public
C4,1303,CT,4,1303,133,Griswold Town Hall Employees,Public Administration,Town,Town Hall,Clerical/Admin,City Hall Employees,Public
C4,1303,CT,4,1303,169,Griswold Town Highway Department,Utilities & Infrastructure,Town,Department,Public Works,Highway Employees,Public
C25,,MI,25,,,Grosse Ile Board Of Education Custodial And Maintenance,K-12 Schools,City,Board Of Education,Custodial And Maintenance,Blue Collar,Public
C25,292,MI,25,292,12,Grosse Ile Township,Public Administration,Township,Township,Daily Operations,Multiple,Public
C25,1121,MI,25,1121,B,Grosse Pointe Shores City,Utilities & Infrastructure,City,City Government,Public Works,Blue Collar,Public
L1000,855,NY,,1000,855,Groton Central School District Non Professional Employees,K-12 Schools,City,School District,Daily Operations,Multiple,Public
C4,818,CT,4,818,35,Groton City Utilities,Utilities & Infrastructure,City,City Government,Electric/Gas/Water,Supervisors,Public
C4,1303,CT,4,1303,135,Groton City Utilities Employees,Utilities & Infrastructure,City,City Government,Electric/Gas/Water,Multiple,Public
C4,1303,CT,4,1303,7,Groton City Utilities Linepersons/Electricians,Utilities & Infrastructure,City,City Government,Electric,Linemen,Public
C15,2693,CT,15,2693,,Groton Long Point Police,Law Enforcement,City,Police Department,Security & Public Safety,Police Officers,Public
C4,3428,CT,4,3428,,Groton Town Police,Law Enforcement,Town,Police Department,Security & Public Safety,Police Officers,Public
C4,818,CT,4,818,44,Groton Town Supervisors,Public Administration,Town,Town,Professional,Supervisors,Public
C93,1703,MA,93,1703,,Groton Town Supervisors,Public Administration,Town,Town,Professional,Supervisors,Public
C8,1116,OH,8,1116,,Grove City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,312,OH,,4,312,Groveport Madison Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C31,3903,IL,31,3903,B,Grundy County Health Department,Health Care,County,Health Department,Health,Multiple,Public
C31,3903,IL,31,3903,,Grundy County Nursing Home,Home Care,County,Retirement Home,Nursing Home,Multiple,Public
C5,3688,MN,5,3688,,Guardian Ad Litem Board,Human Services,City,Board,Legal Services,Multiple,Private Or Indp Entity
C5,3688,MN,5,3688,,Guardian Ad Litem Program Employees Of The State Of Minnesota,Human Services,State,Non-Profit,Legal Services,Multiple,Private Or Indp Entity
C65,105,MN,65,105,,Guardian Angels Health And Rehabilitation Center,Health Care,Single Entity,Health Center,Health,Multiple,Private Or Indp Entity
C87,942,PA,87,942,B,Guardian Elder Care Dba Weatherwood Nursing,Home Care,Single Entity,Retirement Home,Nursing Home,Multiple,Private Or Indp Entity
L4,26,OH,,4,26,Guernsey County District Public Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
L1000,809,NY,,1000,809,Guernsey Memorial Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C25,1640,MI,25,1640,32,Guidance Center,Human Services,Single Entity,Non-Profit,Support Housing And Assistance,Multiple,Private Or Indp Entity
C25,1640,MI,25,1640,12,Guidance Center,Health Care,Single Entity,Health Center,Mental Health,Multiple,Private Or Indp Entity
L1000,766,NY,,1000,766,Guild For Exceptional Children,Health Care,Single Entity,Intellectual Disability Caretaker,Special Education/Needs,Multiple,Private Or Indp Entity
L1000,801,NY,,1000,801,Guilderland Public Library General Unit 1,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
L1000,801,NY,,1000,801,Guilderland Public Library General Unit Ii,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
L1000,801,NY,,1000,801,Guilderland Town Hall Unit A,Public Administration,Town,Town Hall,Clerical/Admin,City Hall Employees,Public
L1000,801,NY,,1000,801,Guilderland Town Hall Unit B,Public Administration,Town,Town Hall,Clerical/Admin,City Hall Employees,Public
C4,1303,CT,4,1303,10,Guilford Board Of Education Custodians,K-12 Schools,City,Board Of Education,Buildings And Grounds,Custodians,Public
C4,1303,CT,4,1303,314,Guilford Board Of Education Nurses,K-12 Schools,City,Board Of Education,Health,Nurses,Public
C4,356,CT,4,356,,Guilford Police,Law Enforcement,City,Police Department,Security & Public Safety,Police Officers,Public
C61,1682,IA,61,1682,1,"Lake View City Police, Public Works And Electrical Utility Departments",Utilities & Infrastructure,City,Department,Public Works,Multiple,Public
L1199,J,NJ,,1199,J,Habor House (Cec),Health Care,District,Health District,Health,Multiple,Private Or Indp Entity
C1707,107,NY,1707,107,,Hadassah Women'S Zionist Organization Of America Inc,Health Care,Single Entity,Religious Association,Health,Multiple,Private Or Indp Entity
C71,3574,NJ,71,3574,,Haddon Heights Borough,Public Administration,Borough,Borough,Daily Operations,Multiple,Public
C71,3528,NJ,71,3528,,Haddon Township,Public Administration,Township,Township,Daily Operations,Multiple,Public
L1000,857,NY,,1000,857,Hadley - Luzerne Central School District #1,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C67,1540,MD,67,1540,,Hagerstown City,Public Administration,City,City Government,Clerical/Admin,Multiple,Public
C67,3373,MD,67,3373,,Hagerstown City Police Department,Law Enforcement,City,Police Department,Security & Public Safety,Police Officers,Public
L1199,C,PA,,1199,C,Hahnemann University Hospital Service And Maintenance Unit,Health Care,Single Entity,Hospital,Buildings And Grounds,Maintenance,Private Or Indp Entity
L1000,840,NY,,1000,840,Haldane Central School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C1707,215,NY,1707,215,,Hale House Center Inc And Social Agencies,Human Services,Single Entity,Non-Profit,Job And Family Services,Multiple,Private Or Indp Entity
L646,,HI,,646,,Hale Makua Nursing Home,Home Care,Single Entity,Retirement Home,Nursing Home,Multiple,Private Or Indp Entity
C93,1700,MA,93,1700,,Halifax School Committee Custodial,K-12 Schools,City,School Committee,Buildings And Grounds,Custodians,Public
C93,1700,MA,93,1700,,Halifax Town Dispatchers,Emergency Services,Town,Town,Security & Public Safety,Dispatchers,Public
C93,1700,MA,93,1700,,Halifax Town Highway Unit,Utilities & Infrastructure,Town,Town,Public Works,Highway Employees,Public
C979,2009,FL,979,2009,,Hallandale Beach City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L1000,815,NY,,1000,815,Hamburg Town Blue Collar Workers,Public Administration,Town,Town,Daily Operations,Blue Collar,Public
L1000,815,NY,,1000,815,Hamburg Town White Collar,Public Administration,Town,Town,Professional,Multiple,Public
L1000,815,NY,,1000,815,Hamburg Village Crossing Guard,Law Enforcement,Village,Village,Security & Public Safety,Crossing Guards,Public
L1000,815,NY,,1000,815,Hamburg Village Department Of Public Works,Utilities & Infrastructure,Village,Department,Public Works,Blue Collar,Public
C4,431,CT,4,431,,Hamden Board Of Education Custodial And Maintenance,K-12 Schools,City,Board Of Education,Custodial And Maintenance,Blue Collar,Public
C4,818,CT,4,818,11,Hamden Board Of Education Supervisors,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Supervisors,Public
C4,1303,CT,4,1303,143,Hamden Bridges Mental Health Center,Health Care,Single Entity,Intellectual Disability Caretaker,Mental Health,Multiple,Private Or Indp Entity
C4,2863,CT,4,2863,,Hamden Town Hall And Crossing Guards,Public Administration,Town,Town Hall,Daily Operations,Multiple,Public
C4,1303,CT,4,1303,115,Hamden Town Library,Public Administration,Town,Library,Knowledge Enrichment,Library Workers,Public
C15,907,CT,15,907,,Hamden Town Police,Law Enforcement,Town,Police Department,Security & Public Safety,Police Officers,Public
C8,475,OH,8,475,,Hamilton City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,151,OH,,4,151,Hamilton City Board Of Education,K-12 Schools,City,Board Of Education,Clerical/Admin,Multiple,Public
C8,468,OH,8,468,,Hamilton City Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
L4,711,OH,,4,711,Hamilton City Board Of Education Transportation,K-12 Schools,City,Board Of Education,Transport,Bus Drivers,Public
C8,3169,OH,8,3169,,Hamilton City Clerical And Technical,Public Administration,City,City Government,Clerical/Admin,Multiple,Public
C8,3785,OH,8,3785,,Hamilton City Public Safety Communication Operators,Emergency Services,City,City Government,Security & Public Safety,Dispatchers,Public
C8,1768,OH,8,1768,,Hamilton County Department Of Job And Family Services,Human Services,County,Department,Job And Family Services,Multiple,Public
C8,1093,OH,8,1093,,Hamilton County Field Operations Division,Public Administration,County,County Government,Public Works,Multiple,Public
L4,327,OH,,4,327,Hamilton Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C40,3086,WI,40,3086,,Hamilton School District Custodial And Maintenance,K-12 Schools,City,School District,Custodial And Maintenance,Blue Collar,Public
C40,3086,WI,40,3086,,Hamilton School District Paraprofessional,K-12 Schools,City,School District,Daily Operations,Paraprofessionals,Public
C93,2905,MA,93,2905,,Hamilton Town Administrative Staff Unit A,Public Administration,Town,Town,Clerical/Admin,Multiple,Public
C93,2905,MA,93,2905,,Hamilton Town Department Of Public Works,Utilities & Infrastructure,Town,Department,Public Works,Blue Collar,Public
C93,2905,MA,93,2905,,"Hamilton Town Police, Fire And Signal Operators",Emergency Services,Town,Town,Security & Public Safety,Dispatchers,Public
C73,2475,NJ,73,2475,,Hamilton Township,Public Administration,Township,Township,Daily Operations,Blue Collar,Public
L1000,818,NY,,1000,818,Hamilton-Fulton-Montgomery Board Of Cooperative Educational Services Bus Drivers,K-12 Schools,City,Board Of Education,Transport,Bus Drivers,Public
C93,2905,MA,93,2905,,Hamilton-Wenham School District Custodians And Maintenance Employees,K-12 Schools,City,School District,Custodial And Maintenance,Multiple,Public
C962,1448,IN,962,1448,,Hammond Public Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C93,1828,ME,93,1828,,Hampden Town Fire Department,Emergency Services,Town,Fire District,Security & Public Safety,Firefighters,Public
C93,1725,MA,93,1725,,Hampden Town Highway Workers,Utilities & Infrastructure,Town,Town,Public Works,Highway Employees,Public
L1000,870,NY,,1000,870,Hampton Bays School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C25,666,MI,25,666,,Hamtramck City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C25,257,MI,25,257,1,Hamtramck City School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,813,NY,,1000,813,Hancock Central School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C25,226,MI,25,226,13,Hancock City Police Department Supervisory Employees,Law Enforcement,City,Department,Security & Public Safety,Supervisors,Public
L4,23,OH,,4,23,Hancock County Board Of Mental Retardation And Developmental Disabilities,Health Care,County,County Government,Mental Health,Blue Collar,Public
C8,1289,OH,8,1289,,Hancock County Engineers Office,Utilities & Infrastructure,County,County Government,Public Works,Engineers,Public
L4,324,OH,,4,324,Hancock Hardin Wyandot Putnam Community Action Commission,K-12 Schools,Regional,Commission,Knowledge Enrichment,Multiple,Private Or Indp Entity
L1000,813,NY,,1000,813,Hancock Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
L1000,838,NY,,1000,838,Hannibal Central School District Food Service Bus Drivers Maintenance,K-12 Schools,City,School District,Daily Operations,Multiple,Public
C89,2624,PA,89,2624,A,Hanover Borough,Public Administration,Borough,Borough,Daily Operations,Blue Collar,Public
C93,1700,MA,93,1700,,Hanover School Committee Custodial Unit,K-12 Schools,City,School Committee,Buildings And Grounds,Custodians,Public
C93,1700,MA,93,1700,,Hanover School Committee Secretarial,K-12 Schools,City,School Committee,Clerical/Admin,Secretaries,Public
C93,1700,MA,93,1700,,Hanover Town Department Of Public Works,Utilities & Infrastructure,Town,Department,Public Works,Blue Collar,Public
C93,1700,MA,93,1700,,Hanover Town Hall Employees,Public Administration,Town,Town Hall,Daily Operations,City Hall Employees,Public
C93,1348,NH,93,1348,,Hanover Town Public Works Department,Utilities & Infrastructure,Town,Department,Public Works,Multiple,Public
C93,1700,MA,93,1700,,Hanover Town School Committee Cafeteria Unit,K-12 Schools,City,School Committee,Food Services,Cafeteria Workers,Public
